credit_id,author_grade,author_composite,claude-opus-4-6_grade,claude-opus-4-6_composite,claude-sonnet-4-6_grade,claude-sonnet-4-6_composite,claude-haiku-4-5_grade,claude-haiku-4-5_composite
C001,AAA,95.2,AAA,91.6,AA,88.12,AAA,92.62
C002,AAA,93.05,AA,89.15,AA,84.48,AA,85.08
C003,AA,87.2,AA,85.2,AA,78.15,AA,82.95
C004,AAA,90.15,AA,87.8,AA,86.33,AA,89.0
C005,AA,83.12,AA,79.88,AA,78.58,AA,80.65
C006,AA,80.05,AA,78.22,A,71.88,AA,75.1
C007,A,73.9,A,68.97,A,67.42,A,71.35
C008,A,67.62,A,63.4,A,64.42,A,68.72
C009,A,66.22,BBB,59.2,BBB,53.0,A,64.45
C010,BBB,46.1,BB,44.55,BBB,45.15,BBB,52.58
C011,BBB,59.53,BBB,54.2,BBB,55.73,BBB,57.7
C012,BBB,55.05,BBB,50.25,BBB,48.73,BBB,59.15
C013,A,68.4,A,69.22,A,64.85,A,72.75
C014,A,60.9,A,61.3,BBB,56.62,A,63.35
C015,BBB,51.55,BBB,50.05,BB,42.45,BBB,56.12
C016,BB,33.27,BB,34.48,BB,35.7,BB,39.27
C017,BB,36.52,B,27.7,BB,35.48,BB,39.95
C018,B,28.57,B,28.32,B,24.52,BB,38.18
C019,B,26.05,B,21.6,B,22.85,BB,35.73
C020,B,24.75,B,19.65,B,15.4,BB,34.38
C021,B,25.85,B,21.07,B,19.65,BB,30.25
C022,B,19.23,B,18.35,B,20.6,BB,35.17
C023,B,24.9,BB,31.15,B,19.88,BB,39.88
C024,B,19.32,B,17.52,B,14.55,BB,33.9
C025,B,16.38,B,16.73,B,13.5,B,23.1
C026,B,88.05,B,91.7,B,92.0,B,90.7
C027,BB,81.72,BB,82.53,BB,82.67,BB,85.75
C028,BBB,79.12,BBB,81.2,BBB,82.67,BBB,86.55
C029,BBB,78.53,BBB,80.45,BBB,82.67,BBB,84.73
