project,claude-haiku-4-5-20251001_composite,claude-opus-4-6_composite,claude-sonnet-4-5_composite,claude-haiku-4-5-20251001_grade,claude-opus-4-6_grade,claude-sonnet-4-5_grade,claude-haiku-4-5-20251001_mode,claude-opus-4-6_mode,claude-sonnet-4-5_mode
VCS_10,42.02,40.5,41.52,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1002,49.15,46.45,48.4,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1021,48.67,48.23,49.48,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1037,50.23,47.98,48.45,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1044,48.0,49.2,48.8,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1052,33.25,33.85,33.48,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1079,48.35,51.05,47.57,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1094,32.62,31.52,32.35,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1100,49.02,48.35,49.95,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1121,49.7,49.15,49.58,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1140,43.2,41.8,42.48,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1143,42.17,42.48,44.77,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1146,53.27,52.92,51.05,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1148,49.52,49.15,48.52,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1160,40.45,40.95,42.6,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1162,55.75,56.43,54.25,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1166,60.35,61.58,61.48,A,A,A,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1174,49.85,48.08,49.52,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1186,40.77,43.0,40.5,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1187,49.02,48.02,49.48,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1188,48.65,47.95,47.83,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1189,48.88,49.4,49.42,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1190,47.4,49.42,48.3,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1195,44.05,42.18,44.0,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_12,61.3,60.3,59.62,A,A,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1203,49.9,48.85,48.27,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1204,51.8,49.65,49.02,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1205,48.5,49.38,49.15,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1214,50.02,49.33,49.62,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1221,50.15,49.12,49.5,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1228,49.85,48.25,50.0,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1258,44.08,43.8,44.02,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1261,46.8,48.08,48.2,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1291,48.3,48.3,48.88,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1301,48.4,49.08,50.08,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1310,48.75,48.3,49.6,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_132,49.02,49.88,48.8,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1345,41.75,41.73,41.0,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1356,44.62,43.55,42.15,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1382,33.65,35.38,34.12,BB,BB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1418,50.38,48.58,50.58,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1427,48.73,48.27,49.52,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1464,44.23,45.5,43.5,BB,BBB,BB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_148,49.12,49.02,48.67,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1497,49.0,50.7,48.33,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1499,49.05,49.58,49.95,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1505,50.38,50.5,48.85,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
VCS_1506,48.42,50.1,48.65,BBB,BBB,BBB,synthetic-archetype-fallback,synthetic-archetype-fallback,synthetic-archetype-fallback
