Unnamed: 0,ID,KML_ha,REDD,fid,polygon_ID,polygon_ha,year,def,defc,pa,IL,mine,palm,river,road,urban,tree,access,dem,slope,fric,mm_ID,mm,buf1k_def,buf1k_defc,buf10k_def,buf10k_defc
9329,1566,1758114,1,9326,9326,1758114,2001,702.66,702.66,0.0,0.901,0.002,0.0,0.0916,0.2754,0.6431,0.85,1607.2796,128.5187,1.0761,0.0372,9326 2001,2625,30,30,596,596
18656,1566,1758114,1,9326,9326,1758114,2002,804.48,1507.14,0.0,0.901,0.002,0.0,0.0916,0.2754,0.6431,0.85,1607.2796,128.5187,1.0761,0.0372,9326 2002,3211,50,80,1152,1749
27983,1566,1758114,1,9326,9326,1758114,2003,345.83,1852.97,0.0,0.901,0.002,0.0,0.0916,0.2754,0.6431,0.85,1607.2796,128.5187,1.0761,0.0372,9326 2003,3037,14,94,655,2403
37310,1566,1758114,1,9326,9326,1758114,2004,1015.84,2868.81,0.0,0.901,0.002,0.0,0.0916,0.2754,0.6431,0.85,1607.2796,128.5187,1.0761,0.0372,9326 2004,3001,33,126,1062,3465
46637,1566,1758114,1,9326,9326,1758114,2005,771.28,3640.1,0.0,0.901,0.002,0.0,0.0916,0.2754,0.6431,0.85,1607.2796,128.5187,1.0761,0.0372,9326 2005,2757,35,161,704,4169
55964,1566,1758114,1,9326,9326,1758114,2006,350.72,3990.82,0.0,0.901,0.002,0.0,0.0916,0.2754,0.6431,0.85,1607.2796,128.5187,1.0761,0.0372,9326 2006,2507,8,170,623,4793
65291,1566,1758114,1,9326,9326,1758114,2007,911.16,4901.98,0.0,0.901,0.002,0.0,0.0916,0.2754,0.6431,0.85,1607.2796,128.5187,1.0761,0.0372,9326 2007,2804,80,249,566,5359
74618,1566,1758114,1,9326,9326,1758114,2008,1019.24,5921.21,0.0,0.901,0.002,0.0,0.0916,0.2754,0.6431,0.85,1607.2796,128.5187,1.0761,0.0372,9326 2008,3274,19,268,540,5899
83945,1566,1758114,1,9326,9326,1758114,2009,831.64,6752.86,0.0,0.901,0.002,0.0,0.0916,0.2754,0.6431,0.85,1607.2796,128.5187,1.0761,0.0372,9326 2009,2180,35,303,537,6436
93272,1566,1758114,1,9326,9326,1758114,2010,686.73,7439.59,0.0,0.901,0.002,0.0,0.0916,0.2754,0.6431,0.85,1607.2796,128.5187,1.0761,0.0372,9326 2010,3317,35,338,580,7016
102599,1566,1758114,1,9326,9326,1758114,2011,526.37,7965.96,0.0,0.901,0.002,0.0,0.0916,0.2754,0.6431,0.85,1607.2796,128.5187,1.0761,0.0372,9326 2011,3075,27,366,354,7371
111926,1566,1758114,1,9326,9326,1758114,2012,827.26,8793.22,0.0,0.901,0.002,0.0,0.0916,0.2754,0.6431,0.85,1607.2796,128.5187,1.0761,0.0372,9326 2012,2148,25,391,476,7846
