Unnamed: 0,ID,KML_ha,REDD,fid,polygon_ID,polygon_ha,year,def,defc,soil,pa,mine,conces,mm_ID,buf1k_def,buf1k_defc,buf10k_def,buf10k_defc,tree,access,dem,slope,fric,mm
2492,1650,193136,0,1650,100,161750.45,2001,900.08,900.08,1.6,0.0,0.246,0.15,100 2001,55,55,1097,1097,0.38,88.0,74.4633,1.5262,0.002,2408
4983,1650,193136,0,1650,100,161750.45,2002,4170.56,5070.64,1.6,0.0,0.246,0.15,100 2002,106,161,2237,3334,0.38,88.0,74.4633,1.5262,0.002,2145
7474,1650,193136,0,1650,100,161750.45,2003,1535.4,6606.04,1.6,0.0,0.246,0.15,100 2003,114,276,932,4266,0.38,88.0,74.4633,1.5262,0.002,2055
9965,1650,193136,0,1650,100,161750.45,2004,2743.79,9349.83,1.6,0.0,0.246,0.15,100 2004,208,484,2956,7222,0.38,88.0,74.4633,1.5262,0.002,1965
12456,1650,193136,0,1650,100,161750.45,2005,4367.95,13717.79,1.6,0.0,0.246,0.15,100 2005,255,739,2487,9709,0.38,88.0,74.4633,1.5262,0.002,1970
14947,1650,193136,0,1650,100,161750.45,2006,2400.21,16117.99,1.6,0.0,0.246,0.15,100 2006,273,1012,1508,11216,0.38,88.0,74.4633,1.5262,0.002,2413
17438,1650,193136,0,1650,100,161750.45,2007,2405.84,18523.83,1.6,0.0,0.246,0.15,100 2007,142,1153,1123,12339,0.38,88.0,74.4633,1.5262,0.002,3163
19929,1650,193136,0,1650,100,161750.45,2008,4967.85,23491.69,1.6,0.0,0.246,0.15,100 2008,526,1680,3489,15828,0.38,88.0,74.4633,1.5262,0.002,1796
22420,1650,193136,0,1650,100,161750.45,2009,3228.91,26720.6,1.6,0.0,0.246,0.15,100 2009,442,2121,3171,18999,0.38,88.0,74.4633,1.5262,0.002,2372
24911,1650,193136,0,1650,100,161750.45,2010,10319.56,37040.16,1.6,0.0,0.246,0.15,100 2010,1046,3168,7570,26569,0.38,88.0,74.4633,1.5262,0.002,1764
27402,1650,193136,0,1650,100,161750.45,2011,4559.32,41599.48,1.6,0.0,0.246,0.15,100 2011,1318,4486,6498,33067,0.38,88.0,74.4633,1.5262,0.002,2865
29893,1650,193136,0,1650,100,161750.45,2012,840.89,42440.37,1.6,0.0,0.246,0.15,100 2012,188,4674,2089,35156,0.38,88.0,74.4633,1.5262,0.002,2527
32384,1650,193136,0,1650,100,161750.45,2013,1174.82,43615.2,1.6,0.0,0.246,0.15,100 2013,204,4878,3055,38211,0.38,88.0,74.4633,1.5262,0.002,2227
34875,1650,193136,0,1650,100,161750.45,2014,1926.45,45541.65,1.6,0.0,0.246,0.15,100 2014,240,5117,3454,41665,0.38,88.0,74.4633,1.5262,0.002,2313
37366,1650,193136,0,1650,100,161750.45,2015,1030.35,46572.0,1.6,0.0,0.246,0.15,100 2015,168,5286,3264,44929,0.38,88.0,74.4633,1.5262,0.002,1718
39857,1650,193136,0,1650,100,161750.45,2016,2313.48,48885.47,1.6,0.0,0.246,0.15,100 2016,424,5709,5451,50379,0.38,88.0,74.4633,1.5262,0.002,1924
42348,1650,193136,0,1650,100,161750.45,2017,2337.71,51223.19,1.6,0.0,0.246,0.15,100 2017,231,5940,3848,54227,0.38,88.0,74.4633,1.5262,0.002,2242
44839,1650,193136,0,1650,100,161750.45,2018,1114.12,52337.31,1.6,0.0,0.246,0.15,100 2018,107,6048,2346,56573,0.38,88.0,74.4633,1.5262,0.002,2184
47330,1650,193136,0,1650,100,161750.45,2019,2076.64,54413.94,1.6,0.0,0.246,0.15,100 2019,176,6224,2584,59158,0.38,88.0,74.4633,1.5262,0.002,1811
49821,1650,193136,0,1650,100,161750.45,2020,1458.62,55872.57,1.6,0.0,0.246,0.15,100 2020,156,6379,2342,61500,0.38,88.0,74.4633,1.5262,0.002,2007
2493,1650,193136,0,1650,101,198477.1,2001,40.78,40.78,2.5,0.0,0.0,0.0,101 2001,2,2,17,17,0.02,63.0,12.4119,0.371,0.002,1597
4984,1650,193136,0,1650,101,198477.1,2002,12.7,53.48,2.5,0.0,0.0,0.0,101 2002,0,2,27,44,0.02,63.0,12.4119,0.371,0.002,1418
7475,1650,193136,0,1650,101,198477.1,2003,17.43,70.91,2.5,0.0,0.0,0.0,101 2003,6,8,25,69,0.02,63.0,12.4119,0.371,0.002,1338
9966,1650,193136,0,1650,101,198477.1,2004,5.87,76.77,2.5,0.0,0.0,0.0,101 2004,6,14,30,99,0.02,63.0,12.4119,0.371,0.002,1294
12457,1650,193136,0,1650,101,198477.1,2005,17.77,94.54,2.5,0.0,0.0,0.0,101 2005,0,14,3,102,0.02,63.0,12.4119,0.371,0.002,1383
14948,1650,193136,0,1650,101,198477.1,2006,15.15,109.69,2.5,0.0,0.0,0.0,101 2006,2,16,39,142,0.02,63.0,12.4119,0.371,0.002,1699
17439,1650,193136,0,1650,101,198477.1,2007,17.95,127.64,2.5,0.0,0.0,0.0,101 2007,2,18,43,184,0.02,63.0,12.4119,0.371,0.002,2104
19930,1650,193136,0,1650,101,198477.1,2008,13.22,140.86,2.5,0.0,0.0,0.0,101 2008,2,19,36,220,0.02,63.0,12.4119,0.371,0.002,1360
22421,1650,193136,0,1650,101,198477.1,2009,32.48,173.34,2.5,0.0,0.0,0.0,101 2009,5,24,46,266,0.02,63.0,12.4119,0.371,0.002,1549
24912,1650,193136,0,1650,101,198477.1,2010,64.68,238.03,2.5,0.0,0.0,0.0,101 2010,7,31,49,315,0.02,63.0,12.4119,0.371,0.002,1310
