Unnamed: 0,ID,KML_ha,REDD,fid,polygon_ID,polygon_ha,year,def,defc,IL,pa,mine,timber,conservation,tree,access,dem,slope,fric,mm_ID,mm,buf1k_def,buf1k_defc,buf10k_def,buf10k_defc
2935,934,262100,0,991,991,262100,2001,488.27,488.27,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2001,2117,45,45,272,272
4914,934,262100,0,991,991,262100,2002,234.49,722.76,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2002,1639,16,61,363,635
6893,934,262100,0,991,991,262100,2003,462.74,1185.49,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2003,1882,72,134,519,1154
8872,934,262100,0,991,991,262100,2004,403.7,1589.2,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2004,1183,28,162,312,1466
10851,934,262100,0,991,991,262100,2005,562.63,2151.82,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2005,1440,58,219,687,2153
12830,934,262100,0,991,991,262100,2006,362.85,2514.67,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2006,1915,29,248,135,2288
14809,934,262100,0,991,991,262100,2007,434.4,2949.07,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2007,1995,42,291,598,2886
16788,934,262100,0,991,991,262100,2008,356.62,3305.69,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2008,1666,31,322,399,3285
18767,934,262100,0,991,991,262100,2009,1036.51,4342.2,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2009,1570,107,429,698,3983
20746,934,262100,0,991,991,262100,2010,744.75,5086.95,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2010,1961,143,572,774,4757
22725,934,262100,0,991,991,262100,2011,806.61,5893.55,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2011,2749,109,680,934,5692
24704,934,262100,0,991,991,262100,2012,500.06,6393.61,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2012,1360,52,732,542,6234
26683,934,262100,0,991,991,262100,2013,2675.23,9068.84,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2013,1719,200,933,2280,8514
28662,934,262100,0,991,991,262100,2014,4327.24,13396.08,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2014,1467,507,1440,5004,13518
30641,934,262100,0,991,991,262100,2015,2509.04,15905.12,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2015,1655,226,1666,3511,17028
32620,934,262100,0,991,991,262100,2016,1813.98,17719.1,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2016,942,251,1918,3748,20776
34599,934,262100,0,991,991,262100,2017,2151.21,19870.31,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2017,966,252,2170,3591,24368
36578,934,262100,0,991,991,262100,2018,1789.4,21659.71,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2018,1187,228,2398,3548,27916
38557,934,262100,0,991,991,262100,2019,1685.17,23344.88,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2019,1120,63,2461,1881,29797
40536,934,262100,0,991,991,262100,2020,2140.8,25485.68,0.687,0.192,0.257,0.0,0.728,0.5,50.0006,1767.4326,7.8766,0.003,991 2020,1876,174,2635,3017,32814
2936,934,302150,0,992,992,302150,2001,963.3,963.3,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2001,2690,105,105,1582,1582
4915,934,302150,0,992,992,302150,2002,1325.78,2289.07,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2002,1862,247,352,2018,3600
6894,934,302150,0,992,992,302150,2003,569.36,2858.43,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2003,2163,97,449,1091,4691
8873,934,302150,0,992,992,302150,2004,2206.87,5065.3,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2004,1417,242,692,2731,7422
10852,934,302150,0,992,992,302150,2005,2783.03,7848.33,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2005,1687,407,1099,3554,10976
12831,934,302150,0,992,992,302150,2006,1211.49,9059.82,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2006,2369,114,1213,961,11938
14810,934,302150,0,992,992,302150,2007,1855.86,10915.68,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2007,2391,267,1479,2557,14495
16789,934,302150,0,992,992,302150,2008,2080.61,12996.29,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2008,1976,318,1797,2853,17348
18768,934,302150,0,992,992,302150,2009,2221.38,15217.67,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2009,1795,267,2064,2334,19682
20747,934,302150,0,992,992,302150,2010,1296.16,16513.83,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2010,2094,168,2231,1566,21248
22726,934,302150,0,992,992,302150,2011,1392.14,17905.96,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2011,3548,164,2395,1706,22954
24705,934,302150,0,992,992,302150,2012,670.94,18576.91,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2012,1657,78,2473,893,23848
26684,934,302150,0,992,992,302150,2013,6365.87,24942.78,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2013,1895,624,3096,6853,30700
28663,934,302150,0,992,992,302150,2014,4002.28,28945.06,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2014,1142,372,3469,4651,35352
30642,934,302150,0,992,992,302150,2015,2576.09,31521.15,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2015,1261,256,3725,2890,38242
32621,934,302150,0,992,992,302150,2016,6135.15,37656.3,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2016,1154,687,4412,7708,45949
34600,934,302150,0,992,992,302150,2017,2240.0,39896.3,0.81,0.0,0.766,0.0,0.289,0.98,257.5239,601.435,2.6289,0.0408,992 2017,1326,333,4745,3383,49333
